,0,1,2,3,4
0,1,13884,31.84,13884,31.84
1,2,7963,18.26,21847,50.10
2,3,5329,12.22,27176,62.31
3,4,3587,8.22,30763,70.54
4,5,2476,5.68,33239,76.22
5,6,1871,4.29,35110,80.51
6,7,1304,2.99,36414,83.50
7,8,1072,2.46,37486,85.96
8,9,871,2.00,38357,87.95
9,10,701,1.61,39058,89.56
10,11,534,1.22,39592,90.78
11,12,465,1.07,40057,91.85
12,13,370,0.85,40427,92.70
13,14,322,0.74,40749,93.44
14,15,253,0.58,41002,94.02
15,16,206,0.47,41208,94.49
16,17,191,0.44,41399,94.93
17,18,177,0.41,41576,95.33
18,19,154,0.35,41730,95.69
19,20,158,0.36,41888,96.05
20,21,112,0.26,42000,96.31
21,22,103,0.24,42103,96.54
22,23,105,0.24,42208,96.78
23,24,85,0.19,42293,96.98
24,25,89,0.20,42382,97.18
25,26,81,0.19,42463,97.37
26,27,77,0.18,42540,97.54
27,28,47,0.11,42587,97.65
28,29,63,0.14,42650,97.80
29,30,61,0.14,42711,97.94
30,31,60,0.14,42771,98.07
31,32,40,0.09,42811,98.17
32,33,42,0.10,42853,98.26
33,34,21,0.05,42874,98.31
34,35,30,0.07,42904,98.38
35,36,48,0.11,42952,98.49
36,37,32,0.07,42984,98.56
37,38,27,0.06,43011,98.62
38,39,21,0.05,43032,98.67
39,40,27,0.06,43059,98.73
40,41,26,0.06,43085,98.79
41,42,19,0.04,43104,98.84
42,43,22,0.05,43126,98.89
43,44,14,0.03,43140,98.92
44,45,14,0.03,43154,98.95
45,46,14,0.03,43168,98.98
46,47,20,0.05,43188,99.03
47,48,21,0.05,43209,99.08
48,49,19,0.04,43228,99.12
49,50,14,0.03,43242,99.15
50,51,16,0.04,43258,99.19
51,52,10,0.02,43268,99.21
52,53,10,0.02,43278,99.24
53,54,10,0.02,43288,99.26
54,55,10,0.02,43298,99.28
55,56,8,0.02,43306,99.30
56,57,12,0.03,43318,99.33
57,58,2,0.00,43320,99.33
58,59,12,0.03,43332,99.36
59,60,10,0.02,43342,99.38
60,61,8,0.02,43350,99.40
61,62,6,0.01,43356,99.42
62,63,5,0.01,43361,99.43
63,64,9,0.02,43370,99.45
64,65,8,0.02,43378,99.47
65,66,10,0.02,43388,99.49
66,67,5,0.01,43393,99.50
67,68,4,0.01,43397,99.51
68,69,1,0.00,43398,99.51
69,70,5,0.01,43403,99.52
70,71,4,0.01,43407,99.53
71,72,6,0.01,43413,99.55
72,73,3,0.01,43416,99.55
73,74,6,0.01,43422,99.57
74,75,6,0.01,43428,99.58
75,76,3,0.01,43431,99.59
76,77,1,0.00,43432,99.59
77,78,5,0.01,43437,99.60
78,79,11,0.03,43448,99.63
79,80,3,0.01,43451,99.63
80,81,2,0.00,43453,99.64
81,82,2,0.00,43455,99.64
82,83,9,0.02,43464,99.66
83,84,7,0.02,43471,99.68
84,85,2,0.00,43473,99.68
85,86,2,0.00,43475,99.69
86,87,7,0.02,43482,99.70
87,88,3,0.01,43485,99.71
88,89,1,0.00,43486,99.71
89,90,2,0.00,43488,99.72
90,91,1,0.00,43489,99.72
91,93,1,0.00,43490,99.72
92,94,3,0.01,43493,99.73
93,95,1,0.00,43494,99.73
94,96,2,0.00,43496,99.74
95,98,6,0.01,43502,99.75
96,99,1,0.00,43503,99.75
97,100,3,0.01,43506,99.76
98,101,5,0.01,43511,99.77
99,102,1,0.00,43512,99.77
100,103,2,0.00,43514,99.78
101,106,1,0.00,43515,99.78
102,107,1,0.00,43516,99.78
103,110,2,0.00,43518,99.79
104,111,3,0.01,43521,99.79
105,112,3,0.01,43524,99.80
106,113,2,0.00,43526,99.81
107,114,2,0.00,43528,99.81
108,115,3,0.01,43531,99.82
109,116,2,0.00,43533,99.82
110,117,1,0.00,43534,99.82
111,118,1,0.00,43535,99.83
112,123,2,0.00,43537,99.83
113,124,2,0.00,43539,99.83
114,125,1,0.00,43540,99.84
115,126,1,0.00,43541,99.84
116,127,2,0.00,43543,99.84
117,128,1,0.00,43544,99.85
118,129,1,0.00,43545,99.85
119,130,3,0.01,43548,99.86
120,131,1,0.00,43549,99.86
121,134,2,0.00,43551,99.86
122,136,2,0.00,43553,99.87
123,138,4,0.01,43557,99.88
124,142,3,0.01,43560,99.88
125,147,1,0.00,43561,99.89
126,150,1,0.00,43562,99.89
127,151,2,0.00,43564,99.89
128,152,1,0.00,43565,99.89
129,157,1,0.00,43566,99.90
130,159,2,0.00,43568,99.90
131,160,1,0.00,43569,99.90
132,164,1,0.00,43570,99.91
133,166,1,0.00,43571,99.91
134,168,3,0.01,43574,99.92
135,170,1,0.00,43575,99.92
136,171,1,0.00,43576,99.92
137,172,1,0.00,43577,99.92
138,174,1,0.00,43578,99.92
139,175,1,0.00,43579,99.93
140,176,1,0.00,43580,99.93
141,178,2,0.00,43582,99.93
142,186,1,0.00,43583,99.94
143,187,2,0.00,43585,99.94
144,191,1,0.00,43586,99.94
145,192,1,0.00,43587,99.94
146,196,1,0.00,43588,99.95
147,215,2,0.00,43590,99.95
148,218,2,0.00,43592,99.96
149,222,1,0.00,43593,99.96
150,226,1,0.00,43594,99.96
151,230,1,0.00,43595,99.96
152,236,1,0.00,43596,99.97
153,239,1,0.00,43597,99.97
154,250,1,0.00,43598,99.97
155,255,1,0.00,43599,99.97
156,256,1,0.00,43600,99.97
157,258,1,0.00,43601,99.98
158,274,1,0.00,43602,99.98
159,301,1,0.00,43603,99.98
160,304,1,0.00,43604,99.98
161,309,1,0.00,43605,99.99
162,320,1,0.00,43606,99.99
163,336,1,0.00,43607,99.99
164,508,1,0.00,43608,99.99
165,627,1,0.00,43609,100.00
166,659,1,0.00,43610,100.00
167,687,1,0.00,43611,100.00
168,,,,,
